用例名称,shape,dtype,value_range,精度是否通过,TBE算子性能(us),Ascend C算子性能(us),性能比值 (TBE/AscendC)
Test_NotEqual_001_sub_case_001_ND_bool,"(1023,)",float16 float16,"[0, 1]",通过,4.640,4.700,0.987
Test_NotEqual_001_sub_case_002_ND_bool,"(1023,)",float float,"[0, 1]",通过,2.660,4.180,0.636
Test_NotEqual_001_sub_case_003_ND_bool,"(1023,)",int32 int32,"[0, 1]",通过,4.080,2.000,2.040
Test_NotEqual_001_sub_case_004_ND_bool,"(1023,)",int8 int8,"[0, 1]",通过,2.180,3.920,0.556
Test_NotEqual_001_sub_case_005_ND_bool,"(1023,)",uint8 uint8,"[0, 1]",通过,4.020,1.900,2.116
Test_NotEqual_001_sub_case_006_ND_bool,"(1023,)",bool bool,"[0, 1]",通过,2.040,3.680,0.554
Test_NotEqual_001_sub_case_007_ND_bool,"(1023,)",bfloat16 bfloat16,"[0, 1]",通过,4.420,2.140,2.065
Test_NotEqual_001_sub_case_008_ND_bool,"(1024,)",float16 float16,"[0, 1]",通过,1.860,3.760,0.495
Test_NotEqual_001_sub_case_009_ND_bool,"(1024,)",float float,"[0, 1]",通过,4.120,2.220,1.856
Test_NotEqual_001_sub_case_010_ND_bool,"(1024,)",int32 int32,"[0, 1]",通过,1.900,4.120,0.461
Test_NotEqual_001_sub_case_011_ND_bool,"(1024,)",int8 int8,"[0, 1]",通过,3.780,2.100,1.800
Test_NotEqual_001_sub_case_012_ND_bool,"(1024,)",uint8 uint8,"[0, 1]",通过,1.960,3.780,0.519
Test_NotEqual_001_sub_case_013_ND_bool,"(1024,)",bool bool,"[0, 1]",通过,4.500,2.000,2.250
Test_NotEqual_001_sub_case_014_ND_bool,"(1024,)",bfloat16 bfloat16,"[0, 1]",通过,2.240,4.060,0.552
Test_NotEqual_001_sub_case_015_ND_bool,"(131072,)",float16 float16,"[0, 1]",通过,9.800,9.140,1.072
Test_NotEqual_001_sub_case_016_ND_bool,"(131072,)",float float,"[0, 1]",通过,11.860,10.580,1.121
Test_NotEqual_001_sub_case_017_ND_bool,"(131072,)",int32 int32,"[0, 1]",通过,9.760,9.840,0.992
Test_NotEqual_001_sub_case_018_ND_bool,"(131072,)",int8 int8,"[0, 1]",通过,7.460,7.800,0.956
